Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity,Concentration area(s),How would you describe your political affiliation?,"Are you a ""legacy"" student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University? ,2.  Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job representing and addressing the concerns of the undergraduate student body?,3. How informed do you feel on the initiatives of the Undergraduate Council of Students and their implementations?,4. Do you agree or disagree that the University should build a new performing arts center on the site of the current Urban Environmental Lab?,5. Did you alter your social media accounts before applying to college? (Circle all that apply),6. How many times have you used Brown‰Ûªs Emergency Medical Services (EMS) in the past academic school year for drug- or alcohol-related instances?,7. Have you ever decided not to call EMS for yourself or a peer for a fear of University or other repercussions?,"8. How often do you participate in religious activities at Brown (church, fellowships, religious associations)?","9. Before coming to Brown, how often did you participate in religious activities?",10. Do you approve or disapprove of the way the University is handling its budget?,"11. If you were in a situation that fell under the jurisdiction of the Title IX office, which handles cases of sexual and gender-based harassment, how comfortable would you feel going to the office for assistance and support?","12. Do you plan to pursue a career in visual, performing or literary arts immediately after graduation?",13.  Have you gone on a new or different birth control recently in response to the political climate?
Female,,None,No,Heterosexual,White,Humanities/arts,Democrat,Yes,No,Strongly approve,Strongly approve,No opinion,No opinion,Other,I have not used EMS in the past year,No,Never,Once a year,No opinion,No opinion,Yes,No
Male,Senior,None,No,Heterosexual,White,Social sciences,Democrat,Yes,No,Somewhat disapprove,Strongly approve,Somewhat informed,Strongly disagree,Changed profile name on account,I have not used EMS in the past year,No,Never,Once or twice a semester,No opinion,Somewhat comfortable,No,This question does not apply to me
Male,Sophomore,Grants and loans,No,Heterosexual,White,Humanities/arts,Democrat,Yes,No,No opinion,Somewhat disapprove,Not at all informed,Somewhat disagree,Did not make any changes,3 times,No,Once a year,Once a year,Strongly disapprove,Very comfortable,Yes,No
Female,First-year,None,No,Heterosexual,White,Humanities/arts,Democrat,No,No,Somewhat approve,Strongly approve,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Once a year,Once or twice a month,Somewhat disapprove,Somewhat uncomfortable,No,No
Male,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,No opinion,Not at all informed,Strongly agree,"Changed profile name on account, Deleted certain posts on account",I have not used EMS in the past year,No,Once or twice a month,Once or twice a month,Somewhat disapprove,Somewhat uncomfortable,No,No
Male,Sophomore,None,No,Heterosexual,Asian,Life sciences,Democrat,No,No,No opinion,No opinion,No opinion,No opinion,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Once or twice a month,Strongly disapprove,No opinion,No,No
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,Humanities/arts,Democrat,No,Yes,Somewhat approve,Somewhat approve,Somewhat uninformed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very uncomfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Male,First-year,None,No,Gay,"White, Asian, Native Hawaiian/Pacific Islander","Humanities/arts, Social sciences",Democrat,No,No,Somewhat disapprove,No opinion,Somewhat informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,No
Female,Sophomore,None,No,Other,White,Humanities/arts,Democrat,No,No,No opinion,Strongly approve,Somewhat informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,Yes,,,Strongly disapprove,Very comfortable,Unsure,Yes
Male,Senior,None,No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,Somewhat approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Male,Junior,Grants and loans,No,Gay,White,Social sciences,Democrat,No,No,Strongly approve,Strongly approve,Somewhat informed,Somewhat agree,Deleted certain posts on account,I have not used EMS in the past year,No,Once a year,Once or twice a semester,Somewhat approve,No opinion,No,This question does not apply to me
Male,Senior,None,Yes,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,Yes,No,No opinion,No opinion,Somewhat informed,Somewhat disagree,Did not make any changes,1 time,No,Never,Never,Somewhat disapprove,No opinion,No,No
Female,Senior,"Grants, covering all costs",No,Heterosexual,White,Life sciences,Democrat,No,Yes,No opinion,No opinion,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,No opinion,Somewhat comfortable,No,No
Male,First-year,None,No,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,No opinion,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,No opinion,No,This question does not apply to me
Female,Sophomore,Grants and loans,No,Heterosexual,White,Life sciences,Democrat,Yes,No,Somewhat disapprove,Strongly approve,Somewhat informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Somewhat comfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,Junior,None,Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",Other,No,No,Somewhat approve,No opinion,Not at all informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,No
Male,Senior,None,No,Heterosexual,Asian,Social sciences,Democrat,No,No,Somewhat approve,Somewhat approve,No opinion,Somewhat agree,Did not make any changes,1 time,No,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Male,Junior,Grants and loans,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Other,Yes,No,Somewhat approve,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once a week,Somewhat disapprove,Very comfortable,No,This question does not apply to me
,Sophomore,"Grants, covering some costs",,Other,White,Humanities/arts,Other,No,No,Somewhat disapprove,Somewhat approve,Somewhat informed,Strongly disagree,"Changed profile name on account, Deleted certain posts on account",1 time,No,Never,Never,Somewhat disapprove,Very uncomfortable,Yes,No
Male,Sophomore,Grants and loans,No,Heterosexual,White,"Humanities/arts, Social sciences",Democrat,Yes,No,Somewhat approve,Somewhat approve,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Very comfortable,No,This question does not apply to me
Female,Sophomore,"Grants, covering all costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,No,Yes,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Female,Sophomore,Just loans,No,Heterosexual,White,Humanities/arts,Democrat,No,No,No opinion,No opinion,Somewhat uninformed,Somewhat agree,Other,I have not used EMS in the past year,No,Never,Once a week,No opinion,Somewhat uncomfortable,No,No
Female,Sophomore,Grants and loans,Yes,Bisexual,Other,Humanities/arts,Democrat,No,No,No opinion,Somewhat disapprove,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Strongly disapprove,,Yes,No
Female,First-year,"Grants, covering some costs",No,Heterosexual,White,Humanities/arts,Democrat,No,No,Somewhat approve,No opinion,No opinion,Somewhat agree,Changed profile name on account,I have not used EMS in the past year,No,,Never,Somewhat approve,Somewhat comfortable,No,No
Female,First-year,"Grants, covering some costs",No,Heterosexual,Hispanic,Life sciences,Democrat,No,No,No opinion,No opinion,Not at all informed,Somewhat agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,No,This question does not apply to me
Male,First-year,None,No,Gay,White,Humanities/arts,Other,No,No,No opinion,No opinion,No opinion,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Once a year,Once or twice a month,No opinion,Somewhat comfortable,Yes,This question does not apply to me
Female,First-year,"Grants, covering some costs",No,Heterosexual,American Indian/Alaska Native,Humanities/arts,Democrat,No,Yes,Somewhat approve,No opinion,Not at all informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once or twice a month,Somewhat approve,Somewhat comfortable,No,No
Female,First-year,None,No,Other,White,"Humanities/arts, Life sciences",Democrat,No,No,Somewhat approve,No opinion,Somewhat uninformed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Very comfortable,No,This question does not apply to me
Male,Sophomore,None,No,Heterosexual,White,Social sciences,,,No,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once or twice a semester,No opinion,Somewhat comfortable,No,This question does not apply to me
Female,First-year,None,No,Bisexual,Hispanic,"Humanities/arts, Social sciences",Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat uninformed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,Very comfortable,Unsure,This question does not apply to me
Male,Senior,"Grants, covering some costs",No,,Hispanic,Social sciences,Democrat,No,Yes,Somewhat approve,Strongly approve,Somewhat informed,No opinion,Did not make any changes,1 time,No,Never,Once or twice a month,Somewhat approve,Somewhat comfortable,No,This question does not apply to me
Male,Sophomore,None,No,Heterosexual,White,Social sciences,Democrat,No,No,Somewhat disapprove,Somewhat disapprove,No opinion,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,No
Female,First-year,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,Strongly approve,Somewhat approve,Somewhat informed,Strongly agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,Senior,Grants and loans,No,Bisexual,Asian,Humanities/arts,Democrat,No,No,Somewhat approve,No opinion,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once or twice a semester,No opinion,Very uncomfortable,No,No
Male,First-year,Grants and loans,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,No opinion,No opinion,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,No opinion,Somewhat uncomfortable,No,This question does not apply to me
,First-year,"Grants, covering some costs",No,Heterosexual,American Indian/Alaska Native,"Physical sciences (incl. math, CS)",Other,No,Yes,Somewhat disapprove,Somewhat approve,Somewhat uninformed,Strongly agree,Changed profile name on account,I have not used EMS in the past year,Yes,Never,Never,Somewhat disapprove,Very comfortable,No,This question does not apply to me
Female,First-year,"Grants, covering some costs",No,Bisexual,White,"Humanities/arts, Social sciences",Democrat,No,No,Somewhat approve,Somewhat approve,No opinion,No opinion,"Changed profile name on account, Deleted certain posts on account",I have not used EMS in the past year,Yes,Once or twice a semester,Once a week,Somewhat approve,Somewhat comfortable,No,No
Male,Junior,None,No,Gay,Other,"Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Strongly agree,Did not make any changes,5+ times,No,Once a year,Once or twice a semester,No opinion,Very comfortable,Yes,Yes
Male,Sophomore,None,No,Gay,White,Humanities/arts,Democrat,No,No,Somewhat approve,No opinion,Somewhat uninformed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a semester,Once a week,No opinion,Very comfortable,Unsure,No
Female,First-year,"Grants, covering some costs",No,Heterosexual,Hispanic,Social sciences,Democrat,No,Yes,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,No
Female,First-year,Grants and loans,Yes,Heterosexual,Black,Social sciences,Democrat,No,Yes,Somewhat approve,Somewhat approve,Somewhat uninformed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,Somewhat comfortable,No,No
Female,Junior,None,No,Heterosexual,White,Humanities/arts,Democrat,No,No,No opinion,No opinion,Somewhat uninformed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,No,No
Male,Junior,None,No,Heterosexual,White,Social sciences,Democrat,Yes,No,Somewhat approve,Somewhat approve,Somewhat uninformed,Strongly disagree,Changed profile name on account,I have not used EMS in the past year,No,Once a year,Once a year,Somewhat approve,Somewhat comfortable,Unsure,This question does not apply to me
Female,Senior,None,,Heterosexual,White,Humanities/arts,Democrat,Yes,No,No opinion,Somewhat approve,Somewhat uninformed,Somewhat agree,Deleted certain posts on account,I have not used EMS in the past year,No,Once a year,Once a year,Somewhat disapprove,Somewhat uncomfortable,Yes,No
Male,First-year,Grants and loans,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Republican,No,No,Somewhat approve,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat disapprove,No opinion,No,No
Female,Junior,Grants and loans,No,Heterosexual,Asian,Life sciences,Democrat,No,Yes,No opinion,No opinion,Not at all informed,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a month,Once a week,Somewhat disapprove,Very uncomfortable,No,No
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,Black,"Physical sciences (incl. math, CS)",Other,No,Yes,Strongly approve,Somewhat approve,Very informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Once a year,Once a week,Somewhat approve,Very uncomfortable,Yes,This question does not apply to me
Female,Junior,None,No,Heterosexual,Asian,Humanities/arts,Democrat,No,No,No opinion,No opinion,No opinion,No opinion,Deleted entire account,I have not used EMS in the past year,No,Never,Once a year,No opinion,No opinion,No,This question does not apply to me
Female,First-year,"Grants, covering some costs",No,Other,"White, Hispanic","Physical sciences (incl. math, CS)",Independent,No,Yes,Somewhat approve,No opinion,Somewhat uninformed,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Once or twice a month,Once or twice a month,No opinion,Somewhat uncomfortable,No,Yes
Male,Junior,None,No,Heterosexual,White,Humanities/arts,Democrat,Yes,No,Somewhat approve,Somewhat approve,Not at all informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat approve,Somewhat comfortable,No,No
Female,First-year,None,No,Heterosexual,Asian,Social sciences,Democrat,No,No,Somewhat approve,Somewhat approve,Not at all informed,Somewhat agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,This question does not apply to me
Male,,None,No,Heterosexual,White,Humanities/arts,Democrat,No,No,Somewhat approve,Somewhat approve,No opinion,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a semester,Once or twice a semester,Somewhat disapprove,Somewhat comfortable,Unsure,This question does not apply to me
Male,First-year,Grants and loans,No,Heterosexual,Black,Humanities/arts,Democrat,No,No,No opinion,Somewhat disapprove,Not at all informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Very uncomfortable,Yes,No
Female,Senior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Strongly approve,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,Somewhat comfortable,No,Yes
Female,First-year,None,No,Heterosexual,White,Social sciences,Democrat,No,No,Strongly approve,No opinion,No opinion,Strongly disagree,Changed profile name on account,2 times,No,Never,Once or twice a semester,No opinion,Somewhat comfortable,No,No
Female,Sophomore,None,No,Heterosexual,White,Social sciences,Democrat,No,No,Somewhat approve,No opinion,Somewhat uninformed,Somewhat disagree,Changed profile name on account,I have not used EMS in the past year,No,Once or twice a semester,Once or twice a month,No opinion,Very comfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,First-year,None,No,Heterosexual,White,Humanities/arts,Democrat,No,No,Somewhat approve,No opinion,Not at all informed,No opinion,Did not make any changes,1 time,No,Once or twice a month,Once a week,Somewhat approve,Somewhat comfortable,No,No
Male,First-year,None,No,Heterosexual,White,Social sciences,Democrat,Yes,No,Somewhat approve,No opinion,Somewhat uninformed,No opinion,Changed profile name on account,I have not used EMS in the past year,No,Never,Once a year,No opinion,No opinion,No,No
Female,First-year,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,Somewhat approve,Somewhat informed,Strongly agree,Deleted certain posts on account,1 time,Yes,Never,Once or twice a semester,No opinion,Somewhat comfortable,Unsure,No
Female,First-year,"Grants, covering all costs",No,Gay,"Black, American Indian/Alaska Native","Physical sciences (incl. math, CS)",Independent,No,Yes,No opinion,Somewhat disapprove,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,No opinion,Somewhat uncomfortable,Unsure,No
Male,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Republican,No,No,Somewhat approve,No opinion,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat approve,Somewhat comfortable,No,This question does not apply to me
Female,Sophomore,None,Yes,Heterosexual,"White, Asian",Humanities/arts,Other,No,No,Somewhat approve,Somewhat disapprove,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,Yes,Never,Never,Somewhat approve,Very comfortable,Unsure,No
Male,First-year,Grants and loans,No,Heterosexual,"Hispanic, Black",Humanities/arts,Democrat,No,Yes,Somewhat approve,Strongly approve,Somewhat informed,No opinion,Changed profile name on account,I have not used EMS in the past year,No,Never,Once a year,Somewhat disapprove,No opinion,No,This question does not apply to me
Female,First-year,None,Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,Somewhat approve,Somewhat uninformed,No opinion,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,No
Male,First-year,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",Independent,No,No,Somewhat approve,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,No opinion,No,This question does not apply to me
Female,First-year,None,No,Heterosexual,White,Life sciences,Democrat,Yes,No,No opinion,No opinion,Not at all informed,No opinion,Changed profile name on account,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,No,No
Male,Junior,Grants and loans,No,Other,White,Humanities/arts,Democrat,No,No,Somewhat disapprove,No opinion,Not at all informed,Strongly agree,Did not make any changes,1 time,No,Never,Never,Somewhat disapprove,Somewhat comfortable,Yes,No
Female,First-year,"Grants, covering some costs",No,Heterosexual,"Black, Other",Social sciences,Other,No,No,No opinion,Somewhat disapprove,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a month,Once a week,Somewhat approve,No opinion,No,No
Male,Sophomore,Grants and loans,No,Heterosexual,Hispanic,Life sciences,Democrat,No,No,No opinion,No opinion,Not at all informed,Strongly disagree,Changed profile name on account,I have not used EMS in the past year,No,Never,Once or twice a semester,Somewhat disapprove,No opinion,No,This question does not apply to me
Male,Junior,None,No,Other,White,Social sciences,Democrat,No,No,Somewhat approve,Somewhat approve,No opinion,Somewhat disagree,Changed profile name on account,I have not used EMS in the past year,No,Once a year,Once or twice a semester,No opinion,No opinion,No,This question does not apply to me
Male,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Strongly approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat approve,Very comfortable,No,This question does not apply to me
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Social sciences",Democrat,No,No,Somewhat approve,Somewhat approve,Very informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Male,Sophomore,None,No,Heterosexual,White,Social sciences,Democrat,No,No,Somewhat approve,No opinion,No opinion,Somewhat agree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat approve,Somewhat comfortable,No,No
Female,Senior,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,Democrat,No,No,No opinion,Somewhat approve,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once a week,Somewhat disapprove,Somewhat uncomfortable,No,Yes
Female,Junior,Grants and loans,No,Heterosexual,Asian,"Life sciences, Physical sciences (incl. math, CS)",Independent,No,No,No opinion,Somewhat approve,Somewhat informed,No opinion,Deleted certain posts on account,I have not used EMS in the past year,No,Once a week,Once a week,No opinion,Somewhat comfortable,No,No
Male,First-year,None,No,Heterosexual,White,Humanities/arts,Democrat,No,No,Somewhat disapprove,No opinion,Somewhat uninformed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once or twice a month,Somewhat disapprove,Somewhat comfortable,No,This question does not apply to me
Male,Senior,"Grants, covering all costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,No,Yes,No opinion,No opinion,Somewhat informed,Strongly disagree,Changed profile name on account,I have not used EMS in the past year,Yes,Once a year,Never,No opinion,Very comfortable,No,No
Male,Sophomore,None,No,Heterosexual,Other,"Life sciences, Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Strongly disapprove,Not at all informed,Somewhat agree,Did not make any changes,3 times,No,Never,Never,No opinion,Somewhat comfortable,No,No
Male,Junior,None,No,Heterosexual,White,Humanities/arts,Independent,No,No,No opinion,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,Yes,This question does not apply to me
Male,First-year,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,Yes,No,No opinion,No opinion,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a month,Once a year,Somewhat disapprove,Somewhat comfortable,No,This question does not apply to me
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,Yes,No,No opinion,Somewhat approve,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,No,This question does not apply to me
Male,First-year,None,Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",Republican,No,No,No opinion,Somewhat disapprove,No opinion,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,Somewhat comfortable,No,No
Male,First-year,Grants and loans,No,Heterosexual,Asian,Humanities/arts,Democrat,No,No,No opinion,No opinion,Somewhat uninformed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once a week,No opinion,Somewhat uncomfortable,Unsure,This question does not apply to me
Female,Sophomore,None,No,Bisexual,White,Life sciences,Democrat,No,No,Somewhat disapprove,No opinion,Not at all informed,Somewhat disagree,Other,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very uncomfortable,No,Yes
Female,Junior,"Grants, covering some costs",No,Heterosexual,White,"Life sciences, Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Somewhat approve,Very informed,Strongly disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,No,Yes
Male,Senior,None,No,Gay,"White, Other",,Democrat,No,Yes,Somewhat approve,No opinion,Somewhat informed,Somewhat disagree,Changed profile name on account,I have not used EMS in the past year,Yes,Never,Once or twice a semester,No opinion,No opinion,No,This question does not apply to me
Female,Junior,"Grants, covering all costs",No,Heterosexual,Black,Humanities/arts,Other,No,No,Strongly approve,Strongly approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Once a week,Once a week,Strongly approve,Somewhat comfortable,No,No
Male,Junior,"Grants, covering all costs",No,Gay,White,"Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat disapprove,Somewhat approve,Somewhat uninformed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,Somewhat comfortable,No,This question does not apply to me
Female,First-year,"Grants, covering some costs",No,Heterosexual,White,Life sciences,Democrat,No,No,Somewhat approve,Somewhat approve,No opinion,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat uncomfortable,No,No
Male,Sophomore,Grants and loans,No,Heterosexual,Hispanic,"Physical sciences (incl. math, CS)",Democrat,No,,Somewhat approve,Somewhat approve,Somewhat uninformed,Somewhat disagree,Deleted certain posts on account,1 time,No,Never,Once a week,Somewhat disapprove,Very comfortable,No,This question does not apply to me
Female,Senior,None,Yes,Heterosexual,"White, Black","Life sciences, Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Somewhat approve,No opinion,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat uncomfortable,No,No
Male,Junior,Grants and loans,No,Heterosexual,"Asian, Hispanic","Physical sciences (incl. math, CS)",Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat informed,Somewhat disagree,Did not make any changes,I have not used EMS in the past year,No,Once or twice a month,Once a week,Somewhat disapprove,Somewhat comfortable,Unsure,This question does not apply to me
Female,Senior,Grants and loans,Yes,Heterosexual,White,Social sciences,Republican,No,No,Strongly approve,Strongly approve,Very informed,Strongly disagree,Other,I have not used EMS in the past year,No,Never,Once a week,Strongly disapprove,Very comfortable,No,No
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,Other,"Humanities/arts, Social sciences",Other,No,Yes,No opinion,No opinion,Somewhat informed,Strongly agree,,,,,,,,,
Female,Senior,"Grants, covering all costs",No,Heterosexual,Hispanic,"Physical sciences (incl. math, CS)",,No,Yes,No opinion,Somewhat approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,Yes,Once or twice a semester,Once a year,No opinion,Very uncomfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Male,Junior,None,No,Heterosexual,Asian,Social sciences,Democrat,Yes,No,Somewhat approve,No opinion,Not at all informed,Strongly agree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Somewhat comfortable,Yes,This question does not apply to me
Male,First-year,None,Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",Democrat,Yes,No,Somewhat approve,Somewhat approve,No opinion,Strongly disagree,Did not make any changes,2 times,No,Never,Never,No opinion,Somewhat uncomfortable,No,This question does not apply to me
Male,Senior,None,Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",Independent,No,No,Somewhat approve,Somewhat approve,Somewhat uninformed,Somewhat disagree,Other,I have not used EMS in the past year,No,Never,Once a year,Somewhat approve,Somewhat uncomfortable,No,This question does not apply to me
Male,Junior,Grants and loans,No,Heterosexual,White,Social sciences,Democrat,No,No,Somewhat approve,No opinion,Not at all informed,Strongly disagree,"Deleted certain posts on account, Deleted entire account",I have not used EMS in the past year,No,Never,Once or twice a semester,Somewhat approve,Somewhat uncomfortable,No,This question does not apply to me
Male,Sophomore,None,No,Heterosexual,Asian,Life sciences,Democrat,No,No,No opinion,No opinion,Somewhat uninformed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,No opinion,No,No
Female,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Social sciences",Other,No,No,Somewhat approve,Somewhat approve,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a year,Somewhat approve,No opinion,No,This question does not apply to me
Male,Senior,Grants and loans,No,Heterosexual,Black,Life sciences,Democrat,No,No,Somewhat approve,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Once or twice a semester,Once or twice a month,No opinion,Somewhat comfortable,No,This question does not apply to me
